pair_label,observable,bin,bin_low_edge,bin_up_edge,correction_factor,stat_unc,scale_unc,pdf_unc,shower_unc,model_unc,total_unc
Herwig_minus,etalepton,1,0.0,0.21,0.6787292957305908,0.012732183560729027,0.00091552734375,0.0005695006693713367,0.0,0.0,0.012777755036950111
Herwig_minus,etalepton,2,0.21,0.42,0.677416205406189,0.01281695906072855,0.0006061196327209473,0.00041190104093402624,0.0,0.0,0.012837892398238182
Herwig_minus,etalepton,3,0.42,0.63,0.6335101127624512,0.012097163125872612,0.0007479190826416016,0.0006399357225745916,0.0,0.0,0.01213714387267828
Herwig_minus,etalepton,4,0.63,0.84,0.6513573527336121,0.01271535363048315,0.000920414924621582,0.0007170391036197543,0.0,0.0,0.01276877149939537
Herwig_minus,etalepton,5,0.84,1.05,0.6635657548904419,0.01337298471480608,0.001351773738861084,0.001049275160767138,0.0,0.0,0.013482024893164635
Herwig_minus,etalepton,6,1.05,1.37,0.6588267087936401,0.01138912420719862,0.0006305575370788574,0.0005851735477335751,0.0,0.0,0.01142156682908535
Herwig_minus,etalepton,7,1.37,1.52,0.6340692043304443,0.01698068156838417,0.0026298165321350098,0.0017157557886093855,0.0,0.0,0.01726856455206871
Herwig_minus,etalepton,8,1.52,1.74,0.6642850637435913,0.01552031934261322,0.001672506332397461,0.001200986560434103,0.0,0.0,0.015656307339668274
Herwig_minus,etalepton,9,1.74,1.95,0.6144203543663025,0.016098879277706146,0.0010849237442016602,0.0007483254303224385,0.0,0.0,0.01615273952484131
Herwig_minus,etalepton,10,1.95,2.18,0.6192711591720581,0.01680895686149597,0.003039240837097168,0.0020435210317373276,0.0,0.0,0.017203314229846
Herwig_minus,etalepton,11,2.18,2.5,0.6351752877235413,0.016872840002179146,0.0037544965744018555,0.00275705149397254,0.0,0.0,0.01750400848686695
