pair_label,observable,bin,bin_low_edge,bin_up_edge,correction_factor,stat_unc,scale_unc,pdf_unc,shower_unc,model_unc,total_unc
Herwig_minus,met_et,1,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Herwig_minus,met_et,2,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Herwig_minus,met_et,3,20.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Herwig_minus,met_et,4,25.0,30.0,9.085713386535645,0.3238527178764343,0.09743690490722656,0.0205319132655859,0.0,0.0,0.33881571888923645
Herwig_minus,met_et,5,30.0,35.0,5.955477237701416,0.18876217305660248,0.04804658889770508,0.016026433557271957,0.0,0.0,0.1954391896724701
Herwig_minus,met_et,6,35.0,40.0,3.9237966537475586,0.11983852833509445,0.030308961868286133,0.0065693724900484085,0.0,0.0,0.12378636002540588
Herwig_minus,met_et,7,40.0,45.0,2.4634242057800293,0.07035846263170242,0.015972375869750977,0.010825644247233868,0.0,0.0,0.07295632362365723
Herwig_minus,met_et,8,45.0,50.0,1.8424725532531738,0.051874734461307526,0.012461304664611816,0.00566623080521822,0.0,0.0,0.053650520741939545
Herwig_minus,met_et,9,50.0,52.0,1.4223755598068237,0.062407903373241425,0.009684324264526367,0.004545246716588736,0.0,0.0,0.0633181780576706
Herwig_minus,met_et,10,52.0,55.0,1.1423662900924683,0.04242412745952606,0.01073002815246582,0.007028116844594479,0.0,0.0,0.044320814311504364
Herwig_minus,met_et,11,55.0,58.0,0.7785239815711975,0.029727960005402565,0.008992969989776611,0.005886209663003683,0.0,0.0,0.03161127120256424
Herwig_minus,met_et,12,58.0,60.0,0.5733972191810608,0.028546934947371483,0.008156776428222656,0.005349860060960054,0.0,0.0,0.030167557299137115
Herwig_minus,met_et,13,60.0,62.0,0.43199658393859863,0.022943489253520966,0.006262600421905518,0.0010560795199126005,0.0,0.0,0.023806285113096237
Herwig_minus,met_et,14,62.0,65.0,0.34929198026657104,0.01631360687315464,0.006179600954055786,0.002759474329650402,0.0,0.0,0.01766170747578144
Herwig_minus,met_et,15,65.0,68.0,0.23272453248500824,0.012641139328479767,0.005710572004318237,0.0019458975875750184,0.0,0.0,0.014006982557475567
Herwig_minus,met_et,16,68.0,70.0,0.1743072122335434,0.012512055225670338,0.0038290172815322876,0.0017295797588303685,0.0,0.0,0.013198649510741234
Herwig_minus,met_et,17,70.0,72.0,0.13529174029827118,0.0107607776299119,0.003732532262802124,0.002466910518705845,0.0,0.0,0.011653831228613853
Herwig_minus,met_et,18,72.0,75.0,0.11841917783021927,0.008121735416352749,0.004236467182636261,0.0027689868584275246,0.0,0.0,0.009569615125656128
Herwig_minus,met_et,19,75.0,78.0,0.08480573445558548,0.006660561077296734,0.002988949418067932,0.0004642717249225825,0.0,0.0,0.007315219845622778
Herwig_minus,met_et,20,78.0,80.0,0.07081545889377594,0.0073620653711259365,0.002663925290107727,0.0007256523822434247,0.0,0.0,0.007862765341997147
Herwig_minus,met_et,21,80.0,85.0,0.05738889053463936,0.004191731568425894,0.0023190155625343323,0.0009122086339630187,0.0,0.0,0.004876532591879368
Herwig_minus,met_et,22,85.0,90.0,0.03214966878294945,0.0030536246486008167,0.001453585922718048,0.0005993348313495517,0.0,0.0,0.003434638027101755
Herwig_minus,met_et,23,90.0,100.0,0.025030778720974922,0.0020465862471610308,0.001155853271484375,0.00047399874893017113,0.0,0.0,0.0023977463133633137
Herwig_minus,met_et,24,100.0,120.0,0.015980111435055733,0.0012818648247048259,0.0008995421230792999,0.000277756160357967,0.0,0.0,0.0015904407482594252
Herwig_minus,met_et,25,120.0,140.0,0.008318510837852955,0.0011283950880169868,0.0005151843652129173,0.00017165069584734738,0.0,0.0,0.0012522597098723054
Herwig_minus,met_et,26,140.0,160.0,0.004729787819087505,0.0010612235637381673,0.00029669469222426414,0.00017637414566706866,0.0,0.0,0.0011159440036863089
Herwig_minus,met_et,27,160.0,200.0,0.0017314428696408868,0.0006129234679974616,0.00011831242591142654,7.640424882993102e-05,0.0,0.0,0.000628896348644048
Herwig_minus,met_et,28,200.0,250.0,0.00041332561522722244,0.0004134491318836808,9.79425385594368e-05,6.540247704833746e-05,0.0,0.0,0.00042989582289010286
Herwig_minus,met_et,29,250.0,300.0,0.0019588954746723175,0.0013871088158339262,0.000172425527125597,6.496678543044254e-05,0.0,0.0,0.0013992934254929423
