pair_label,observable,bin,bin_low_edge,bin_up_edge,correction_factor,stat_unc,scale_unc,pdf_unc,shower_unc,model_unc,total_unc
Pythia_minus,met_et,1,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pythia_minus,met_et,2,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pythia_minus,met_et,3,20.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pythia_minus,met_et,4,25.0,30.0,7.963103294372559,0.2568991482257843,0.07492542266845703,0.007043535355478525,0.5588583946228027,0.04741477966308594,0.6214752197265625
Pythia_minus,met_et,5,30.0,35.0,5.354724407196045,0.16020578145980835,0.0448756217956543,0.01695769652724266,0.251676082611084,0.07285547256469727,0.310831218957901
Pythia_minus,met_et,6,35.0,40.0,2.9331557750701904,0.08200587332248688,0.022127628326416016,0.0064787305891513824,0.18221092224121094,0.037482261657714844,0.20460280776023865
Pythia_minus,met_et,7,40.0,45.0,1.98146390914917,0.05351371318101883,0.016023874282836914,0.008897843770682812,0.08822989463806152,0.007655739784240723,0.105084627866745
Pythia_minus,met_et,8,45.0,50.0,1.6291288137435913,0.04252175614237785,0.00856781005859375,0.004471388645470142,0.0842275619506836,0.021528959274291992,0.09725882112979889
Pythia_minus,met_et,9,50.0,52.0,1.4815419912338257,0.06008029356598854,0.0037720203399658203,0.0047572096809744835,0.04716932773590088,0.01480567455291748,0.0780426412820816
Pythia_minus,met_et,10,52.0,55.0,1.01327383518219,0.03452915698289871,0.006241202354431152,0.005846747197210789,0.01582181453704834,0.009523272514343262,0.040080197155475616
Pythia_minus,met_et,11,55.0,58.0,0.6372517943382263,0.02409578114748001,0.008208692073822021,0.002157685114070773,0.015278160572052002,0.006037533283233643,0.030372995883226395
Pythia_minus,met_et,12,58.0,60.0,0.47523045539855957,0.023396672680974007,0.008044421672821045,0.0035260519944131374,0.0022239387035369873,0.00231894850730896,0.02519669570028782
Pythia_minus,met_et,13,60.0,62.0,0.3467243015766144,0.018934153020381927,0.007562756538391113,0.0018985809292644262,0.0032331645488739014,0.00473591685295105,0.02126462571322918
Pythia_minus,met_et,14,62.0,65.0,0.23986287415027618,0.011995186097919941,0.0070523470640182495,0.0017125785816460848,0.007758215069770813,0.0015555471181869507,0.01609852910041809
Pythia_minus,met_et,15,65.0,68.0,0.15187817811965942,0.0088181858882308,0.00629095733165741,0.0023023008834570646,0.0035160332918167114,0.002214372158050537,0.011828063055872917
Pythia_minus,met_et,16,68.0,70.0,0.12100055068731308,0.009568129666149616,0.005664147436618805,0.00106141553260386,0.006342381238937378,0.0009019598364830017,0.012876241467893124
Pythia_minus,met_et,17,70.0,72.0,0.09603074938058853,0.008483124896883965,0.004791103303432465,0.001908020582050085,0.0018125250935554504,0.000565744936466217,0.010107617825269699
Pythia_minus,met_et,18,72.0,75.0,0.06301405280828476,0.005411306396126747,0.0033333152532577515,0.0007997556822374463,0.0007563680410385132,0.00035037845373153687,0.006459697615355253
Pythia_minus,met_et,19,75.0,78.0,0.05312695354223251,0.005033234134316444,0.0033901073038578033,0.0005712856072932482,0.0016026049852371216,0.0006835311651229858,0.0063394163735210896
Pythia_minus,met_et,20,78.0,80.0,0.042297475039958954,0.00544698815792799,0.0027345530688762665,0.0011170317884534597,0.001478530466556549,0.000829055905342102,0.006424064747989178
Pythia_minus,met_et,21,80.0,85.0,0.03850390017032623,0.003297059563919902,0.0024560317397117615,0.0009591392590664327,0.0013211555778980255,0.0004752017557621002,0.004449034575372934
Pythia_minus,met_et,22,85.0,90.0,0.027377087622880936,0.002864068141207099,0.0021450798958539963,0.0005532782524824142,0.0006896425038576126,0.00017884746193885803,0.003690252546221018
Pythia_minus,met_et,23,90.0,100.0,0.020844008773565292,0.0018773654010146856,0.0016977880150079727,0.0004660477570723742,0.0006505995988845825,9.189173579216003e-05,0.0026562961284071207
Pythia_minus,met_et,24,100.0,120.0,0.01088764425367117,0.0011028583394363523,0.0009683677926659584,0.000290899770334363,0.00036146678030490875,7.902178913354874e-05,0.0015412844950333238
Pythia_minus,met_et,25,120.0,140.0,0.005927465856075287,0.0010209139436483383,0.0006049145013093948,0.0003232887538615614,0.0002609584480524063,9.876023977994919e-05,0.0012611722340807319
Pythia_minus,met_et,26,140.0,160.0,0.008329362608492374,0.0015560491010546684,0.0007991427555680275,0.00029449924477376044,0.0005101645365357399,0.000150398351252079,0.0018519004806876183
Pythia_minus,met_et,27,160.0,200.0,0.0024855544324964285,0.0008300105691887438,0.0002734260633587837,5.505896479007788e-05,0.00015271268784999847,7.308111526072025e-05,0.0008918367675505579
Pythia_minus,met_et,28,200.0,250.0,0.003981218207627535,0.0015090983361005783,0.0004254579544067383,6.229247810551897e-05,0.00019525550305843353,7.280008867383003e-05,0.0015829394105821848
Pythia_minus,met_et,29,250.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
