pair_label,observable,bin,bin_low_edge,bin_up_edge,correction_factor,stat_unc,scale_unc,pdf_unc,shower_unc,model_unc,total_unc
Pythia_plus,etalepton,1,0.0,0.21,0.6787723898887634,0.01277096662670374,0.0002193450927734375,0.00046558937174268067,0.018627405166625977,0.0012459754943847656,0.02262509986758232
Pythia_plus,etalepton,2,0.21,0.42,0.6637097001075745,0.012348371557891369,0.00042182207107543945,0.00012342756963334978,0.023782551288604736,0.0011221766471862793,0.02682432532310486
Pythia_plus,etalepton,3,0.42,0.63,0.6563639044761658,0.012470212765038013,0.00034809112548828125,0.0003347631136421114,0.00881415605545044,0.004738509654998779,0.01599632017314434
Pythia_plus,etalepton,4,0.63,0.84,0.6393616795539856,0.012587795034050941,0.00026154518127441406,0.0005045849247835577,0.005679011344909668,0.0022196173667907715,0.013998338021337986
Pythia_plus,etalepton,5,0.84,1.05,0.6604490876197815,0.013255731202661991,0.0007049441337585449,0.00017850117001216859,0.012003660202026367,0.0037409067153930664,0.018284568563103676
Pythia_plus,etalepton,6,1.05,1.37,0.6588264107704163,0.011415570974349976,0.0005481243133544922,0.0001353088446194306,0.008708715438842773,0.002907991409301758,0.014660564251244068
Pythia_plus,etalepton,7,1.37,1.52,0.6578355431556702,0.017622986808419228,0.0013180971145629883,0.0008707286324352026,0.014964282512664795,0.004807710647583008,0.02366662211716175
Pythia_plus,etalepton,8,1.52,1.74,0.6865697503089905,0.016254842281341553,3.5703182220458984e-05,0.0010201710974797606,0.005191028118133545,0.0019843578338623047,0.017208904027938843
Pythia_plus,etalepton,9,1.74,1.95,0.6718283295631409,0.017448000609874725,0.00033414363861083984,0.00134111731313169,0.020624637603759766,0.002961397171020508,0.02721191942691803
Pythia_plus,etalepton,10,1.95,2.18,0.6499840021133423,0.017928969115018845,0.001294851303100586,0.0006798157701268792,0.03327709436416626,0.005210995674133301,0.038185156881809235
Pythia_plus,etalepton,11,2.18,2.5,0.6468735337257385,0.017114879563450813,0.0006532073020935059,0.0017932073678821325,0.025161802768707275,0.006656646728515625,0.031208790838718414
