pair_label,observable,bin,bin_low_edge,bin_up_edge,correction_factor,stat_unc,scale_unc,pdf_unc,shower_unc,model_unc,total_unc
Pythia_plus,met_et,1,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pythia_plus,met_et,2,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pythia_plus,met_et,3,20.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pythia_plus,met_et,4,25.0,30.0,8.171903610229492,0.2665215730667114,0.0707855224609375,0.02791016176342964,0.2716407775878906,0.11725807189941406,0.40541520714759827
Pythia_plus,met_et,5,30.0,35.0,4.930161476135254,0.14336979389190674,0.038818359375,0.01094455923885107,0.2142643928527832,0.030807018280029297,0.26275435090065
Pythia_plus,met_et,6,35.0,40.0,2.9727954864501953,0.0837131068110466,0.024520397186279297,0.006104608066380024,0.04743528366088867,0.022800683975219727,0.10206065326929092
Pythia_plus,met_et,7,40.0,45.0,1.9239780902862549,0.05116533115506172,0.017956018447875977,0.005160888656973839,0.04730331897735596,0.01680445671081543,0.07407387346029282
Pythia_plus,met_et,8,45.0,50.0,1.6209596395492554,0.042076319456100464,0.005897998809814453,0.005284424871206284,0.10849201679229736,0.014562249183654785,0.11754022538661957
Pythia_plus,met_et,9,50.0,52.0,1.4061009883880615,0.056148335337638855,0.0009808540344238281,0.003262031590566039,0.08378231525421143,0.02474808692932129,0.10390467941761017
Pythia_plus,met_et,10,52.0,55.0,1.0382763147354126,0.03587322682142258,0.007405519485473633,0.004619083367288113,0.021307945251464844,0.017178773880004883,0.045958731323480606
Pythia_plus,met_et,11,55.0,58.0,0.6967383027076721,0.025863677263259888,0.008955597877502441,0.0041640158742666245,0.019327878952026367,0.007404685020446777,0.034566860646009445
Pythia_plus,met_et,12,58.0,60.0,0.48005595803260803,0.023897461593151093,0.007056057453155518,0.0050857532769441605,0.018174022436141968,0.00392603874206543,0.03150318190455437
Pythia_plus,met_et,13,60.0,62.0,0.35760173201560974,0.019069897010922432,0.007942497730255127,0.002439705189317465,0.004604071378707886,0.006227970123291016,0.02219642885029316
Pythia_plus,met_et,14,62.0,65.0,0.238851398229599,0.01206978503614664,0.007258906960487366,0.0024407452438026667,0.005717962980270386,0.0031665563583374023,0.015717850998044014
Pythia_plus,met_et,15,65.0,68.0,0.16449867188930511,0.009640405885875225,0.005972087383270264,0.002193445572629571,0.00846157968044281,0.0014627426862716675,0.014392790384590626
Pythia_plus,met_et,16,68.0,70.0,0.1052064597606659,0.008877200074493885,0.0053689852356910706,0.001260802149772644,0.0037388578057289124,0.0006958469748497009,0.011121311224997044
Pythia_plus,met_et,17,70.0,72.0,0.08060599863529205,0.0075912331230938435,0.004210658371448517,0.0015212766593322158,0.00214240700006485,0.00040375441312789917,0.009078748524188995
Pythia_plus,met_et,18,72.0,75.0,0.07534666359424591,0.0061424425803124905,0.004415363073348999,0.0015099486336112022,0.0037222281098365784,0.0012632980942726135,0.008657706901431084
Pythia_plus,met_et,19,75.0,78.0,0.05682634562253952,0.005146934185177088,0.0033891014754772186,0.001137632061727345,0.001232985407114029,0.000685863196849823,0.006423535291105509
Pythia_plus,met_et,20,78.0,80.0,0.04813781753182411,0.0059950524009764194,0.002900209277868271,0.001342376577667892,0.006265033036470413,0.0003397129476070404,0.00924769602715969
Pythia_plus,met_et,21,80.0,85.0,0.03379335254430771,0.0030838288366794586,0.002295747399330139,0.000750952516682446,0.0006524026393890381,0.0007621608674526215,0.0040436252020299435
Pythia_plus,met_et,22,85.0,90.0,0.026310540735721588,0.0027951851952821016,0.0019435752183198929,0.0006459112046286464,0.0006964672356843948,0.00038438476622104645,0.0035553572233766317
Pythia_plus,met_et,23,90.0,100.0,0.02035890519618988,0.0018331770552322268,0.0017061643302440643,0.0005213258555158973,0.00030682235956192017,7.14566558599472e-05,0.002577316714450717
Pythia_plus,met_et,24,100.0,120.0,0.011286514811217785,0.0011104765580967069,0.001010567881166935,0.00040307187009602785,0.0005760760977864265,0.00010177958756685257,0.0016610524617135525
Pythia_plus,met_et,25,120.0,140.0,0.005942714866250753,0.0010088452836498618,0.0005831737071275711,0.0002272358105983585,0.00032740505412220955,0.00010964181274175644,0.0012364109279587865
Pythia_plus,met_et,26,140.0,160.0,0.0034723517019301653,0.001004916150122881,0.0003194438759237528,0.00011645847553154454,0.00010723806917667389,8.458574302494526e-05,0.0010696345707401633
Pythia_plus,met_et,27,160.0,200.0,0.0036673233844339848,0.0010198485106229782,0.00034302985295653343,0.0001955213228939101,6.640516221523285e-05,6.953929550945759e-05,0.001097831642255187
Pythia_plus,met_et,28,200.0,250.0,0.001807881286367774,0.00104515568818897,0.00015561352483928204,3.4558681363705546e-05,0.00017089326865971088,4.119554068893194e-05,0.0010717564728111029
Pythia_plus,met_et,29,250.0,300.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
