pair_label,observable,bin,bin_low_edge,bin_up_edge,correction_factor,stat_unc,scale_unc,pdf_unc,shower_unc,model_unc,total_unc
Pythia_plus,mtw,1,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pythia_plus,mtw,2,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pythia_plus,mtw,3,20.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pythia_plus,mtw,4,30.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pythia_plus,mtw,5,40.0,45.0,0.09579658508300781,0.004837126471102238,0.001482553780078888,0.0006924622575752437,0.00047979503870010376,0.00023758411407470703,0.0051343850791454315
Pythia_plus,mtw,6,45.0,50.0,0.156672865152359,0.006209648679941893,0.001500830054283142,0.00022716779494658113,0.002310842275619507,0.00045362114906311035,0.006812458857893944
Pythia_plus,mtw,7,50.0,55.0,0.27099162340164185,0.00864783301949501,0.0010133087635040283,0.00034477526787668467,0.009349316358566284,0.0011736750602722168,0.012834247201681137
Pythia_plus,mtw,8,55.0,58.0,0.3686412572860718,0.013380726799368858,5.322694778442383e-05,0.0003123645728919655,0.0032022297382354736,0.0005648434162139893,0.013773800805211067
Pythia_plus,mtw,9,58.0,60.0,0.4355115294456482,0.017935901880264282,0.0003961026668548584,0.0012111336691305041,0.01009032130241394,0.0017756521701812744,0.020695116370916367
Pythia_plus,mtw,10,60.0,62.0,0.5378226637840271,0.020966652780771255,0.0006958842277526855,0.0017572741489857435,0.011323988437652588,0.0073236823081970215,0.025000836700201035
Pythia_plus,mtw,11,62.0,65.0,0.6298121213912964,0.019118037074804306,0.002116680145263672,0.0014389207353815436,0.02344059944152832,0.0029282569885253906,0.030497319996356964
Pythia_plus,mtw,12,65.0,68.0,0.8376826047897339,0.023705407977104187,0.0016645193099975586,0.0010009771212935448,0.010584652423858643,0.004890918731689453,0.026489146053791046
Pythia_plus,mtw,13,68.0,70.0,1.0715603828430176,0.03475474938750267,0.003927111625671387,0.001953341532498598,0.0070351362228393555,0.009482383728027344,0.036966729909181595
Pythia_plus,mtw,14,70.0,72.0,1.2957255840301514,0.04051681235432625,0.0037758350372314453,0.0007433610153384507,0.025368690490722656,0.016464948654174805,0.05070588365197182
Pythia_plus,mtw,15,72.0,75.0,1.6478445529937744,0.04096957668662071,0.007559657096862793,0.0037177596241235733,0.04994642734527588,0.008929610252380371,0.06575606018304825
Pythia_plus,mtw,16,75.0,78.0,2.4624836444854736,0.05916127935051918,0.0064601898193359375,0.0026007352862507105,0.1085822582244873,0.005734682083129883,0.12398204952478409
Pythia_plus,mtw,17,78.0,80.0,3.7502384185791016,0.10609378665685654,0.004245758056640625,0.007466326933354139,0.11191463470458984,0.0333709716796875,0.15801319479942322
Pythia_plus,mtw,18,80.0,82.0,2.5560028553009033,0.0751805230975151,0.0011010169982910156,0.0066629983484745026,0.10151100158691406,0.005667924880981445,0.12662672996520996
Pythia_plus,mtw,19,82.0,85.0,0.5394891500473022,0.01754661835730076,0.001670241355895996,0.00246988283470273,0.009535789489746094,0.002971827983856201,0.02040923573076725
Pythia_plus,mtw,20,85.0,88.0,0.1631193906068802,0.00796626415103674,0.0015230029821395874,0.0006602684734389186,0.0025538206100463867,0.0014960616827011108,0.008658929727971554
Pythia_plus,mtw,21,88.0,90.0,0.10052936524152756,0.007573925424367189,0.0017724111676216125,0.00039060108247213066,0.0045557767152786255,0.0005774050951004028,0.009041396901011467
Pythia_plus,mtw,22,90.0,95.0,0.05291134864091873,0.003425480332225561,0.001175031065940857,0.0003912764077540487,0.0007321611046791077,0.00035378336906433105,0.0037321485579013824
Pythia_plus,mtw,23,95.0,100.0,0.028241198509931564,0.0026306002400815487,0.0006525404751300812,0.0002294469450134784,0.0005535650998353958,0.00013799965381622314,0.002779206959530711
Pythia_plus,mtw,24,100.0,110.0,0.019095856696367264,0.0018053170060738921,0.000632433220744133,0.00016992661403492093,0.0004369039088487625,0.00010750070214271545,0.0019724243320524693
Pythia_plus,mtw,25,110.0,120.0,0.0014740237966179848,0.0007378035224974155,1.2817909009754658e-05,2.2913969587534666e-05,7.82838324084878e-05,1.2921169400215149e-05,0.0007425218354910612
Pythia_plus,mtw,26,120.0,140.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pythia_plus,mtw,27,140.0,160.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pythia_plus,mtw,28,160.0,200.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pythia_plus,mtw,29,200.0,300.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
